Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0668706,95.4,72,113,74.7,5.75,3.90,475.441,2.52,16.30,0.979,36.9
0.12,0.0668706,95.4,72,113,74.7,5.75,3.88,475.441,2.54,16.30,0.979,36.9
0.16,0.0668706,95.4,72,113,74.7,5.75,3.87,475.441,2.55,16.30,0.979,36.9
0.22,0.0668706,95.4,72,113,74.7,5.75,3.88,475.441,2.57,16.30,0.979,36.9
0.26,0.0668706,95.4,72,113,74.7,5.75,3.88,475.441,2.58,16.30,0.979,36.9
0.32,0.0668785,95.4,72,113,74.7,5.75,3.90,475.441,2.60,16.30,0.979,36.9
0.36,0.0668785,95.4,72,113,74.7,5.75,3.91,475.441,2.61,16.30,0.979,36.9
0.42,0.0668785,95.4,72,113,74.7,5.75,3.93,475.441,2.62,16.30,0.979,36.9
0.46,0.0668785,95.4,72,113,74.7,5.75,3.94,475.441,2.62,16.30,0.979,36.9
0.52,0.0668785,95.4,72,113,74.7,5.75,3.96,475.441,2.58,16.30,0.979,36.9
0.56,0.0668785,95.4,72,113,74.7,5.75,3.97,475.441,2.54,16.30,0.979,36.9
0.62,0.0668785,95.4,72,113,74.7,5.75,3.99,475.441,2.48,16.30,0.979,36.9
0.66,0.0668785,95.4,72,113,74.7,5.75,3.99,475.441,2.44,16.30,0.979,36.9
0.72,0.0668785,95.4,72,113,74.7,5.75,3.97,475.441,2.38,16.30,0.979,36.9
0.76,0.0668785,95.4,72,113,74.7,5.75,3.95,475.441,2.35,16.30,0.979,36.9
0.82,0.0668785,95.4,72,113,74.7,5.75,3.92,475.441,2.30,16.30,0.979,36.9
0.86,0.0668785,95.4,72,113,74.7,5.75,3.91,475.441,2.28,16.30,0.979,36.9
0.92,0.0668785,95.4,72,113,74.7,5.75,3.89,475.441,2.25,16.30,0.979,36.9
0.96,0.0668785,95.4,72,113,74.7,5.75,3.88,475.441,2.23,16.30,0.979,36.9
1.02,0.0668785,95.4,72,113,74.7,5.75,3.87,475.441,2.21,16.30,0.979,36.9
1.06,0.0668785,95.4,72,113,74.7,5.75,3.87,475.441,2.20,16.30,0.979,36.9
1.12,0.0668785,95.4,72.4,114,74.6,5.77,3.89,475.441,2.19,16.30,0.979,36.9
1.16,0.0668917,95.4,72.4,114,74.6,5.77,3.90,475.441,2.18,16.30,0.979,36.9
1.22,0.0668917,95.4,72.4,114,74.6,5.77,3.92,475.441,2.17,16.30,0.979,36.9
1.26,0.0668917,95.4,72.4,114,74.6,5.77,3.93,475.441,2.17,16.30,0.979,36.9
1.32,0.0668917,95.4,72.4,114,74.6,5.77,3.95,475.441,2.16,16.30,0.979,36.9
1.36,0.0668917,95.4,72.4,114,74.6,5.77,3.96,475.441,2.16,16.30,0.979,36.9
1.42,0.0668917,95.4,72.4,114,74.6,5.77,3.98,475.441,2.15,16.30,0.979,36.9
1.46,0.0668917,95.4,72.4,114,74.6,5.77,3.99,475.441,2.15,16.30,0.979,36.9
1.52,0.0668917,95.4,72.4,114,74.6,5.77,3.98,475.441,2.15,16.30,0.979,36.9
1.56,0.0668917,95.4,72.4,114,74.6,5.77,3.96,475.441,2.15,16.30,0.979,36.9
1.62,0.0668917,95.4,72.4,114,74.6,5.77,3.94,475.441,2.15,16.30,0.979,36.9
1.66,0.0668917,95.4,72.4,114,74.6,5.77,3.92,475.441,2.15,16.30,0.979,36.9
1.72,0.0668917,95.4,72.4,114,74.6,5.77,3.90,475.441,2.15,16.30,0.979,36.9
1.76,0.0668917,95.4,72.4,114,74.6,5.77,3.89,475.441,2.15,16.30,0.979,36.9
1.82,0.0668917,95.4,72.4,114,74.6,5.77,3.88,475.441,2.15,16.30,0.979,36.9
1.86,0.0668917,95.4,72.4,114,74.6,5.77,3.87,475.441,2.14,16.30,0.979,36.9
1.92,0.0668917,95.4,72.4,114,74.6,5.77,3.88,475.441,2.14,16.30,0.979,36.9
1.96,0.0668917,95.4,72.4,114,74.6,5.77,3.89,475.441,2.14,16.30,0.979,36.9
2.02,0.0668939,95.4,72.4,114,74.6,5.77,3.90,475.441,2.14,16.30,0.979,36.9
2.06,0.0668939,95.4,72.4,114,74.6,5.77,3.92,475.441,2.14,16.30,0.979,36.9
2.12,0.0668939,95.4,72.4,114,74.6,5.77,3.93,475.441,2.14,16.30,0.979,36.9
2.16,0.0668939,95.4,72.4,114,74.6,5.77,3.95,475.441,2.14,16.30,0.979,36.9
2.22,0.0668939,95.4,72.4,114,74.6,5.77,3.97,475.441,2.14,16.30,0.979,36.9
2.26,0.0668939,95.4,72.4,114,74.6,5.77,3.98,475.441,2.14,16.30,0.979,36.9
2.32,0.0668939,95.4,72.4,114,74.6,5.77,3.99,475.441,2.14,16.30,0.979,36.9
2.36,0.0668939,95.4,72.4,114,74.6,5.77,3.98,475.441,2.14,16.30,0.979,36.9
2.42,0.0668939,95.4,72.4,114,74.6,5.77,3.95,475.441,2.14,16.30,0.979,36.9
2.46,0.0668939,95.4,72.4,114,74.6,5.77,3.94,475.441,2.14,16.30,0.979,36.9
2.52,0.0668939,95.4,72.4,114,74.6,5.77,3.91,475.441,2.14,16.30,0.979,36.9
2.56,0.0668939,95.4,72.4,114,74.6,5.77,3.90,475.441,2.14,16.30,0.979,36.9
2.62,0.0668939,95.4,72.4,114,74.6,5.77,3.88,475.441,2.14,16.30,0.979,36.9
2.66,0.0668939,95.4,72.4,114,74.6,5.77,3.88,475.441,2.14,16.30,0.979,36.9
2.72,0.0668939,95.4,72.4,114,74.6,5.77,3.87,475.441,2.14,16.30,0.979,36.9
2.76,0.0668939,95.4,72.4,114,74.6,5.77,3.88,475.441,2.14,16.30,0.979,36.9
2.82,0.0668761,95.4,72.3,114,74.6,5.77,3.89,475.441,2.14,16.30,0.979,36.9
2.86,0.0668761,95.4,72.3,114,74.6,5.77,3.90,475.509,2.15,16.30,0.979,36.9
2.92,0.0668761,95.4,72.3,114,74.6,5.77,3.92,475.509,2.16,16.30,0.979,36.9
2.96,0.0668761,95.4,72.3,114,74.6,5.77,3.93,475.509,2.17,16.30,0.979,36.9
3.02,0.0668761,95.4,72.3,114,74.6,5.77,3.95,475.509,2.20,16.30,0.979,36.9
3.06,0.0668761,95.4,72.3,114,74.6,5.77,3.96,475.509,2.21,16.30,0.979,36.9
3.12,0.0668761,95.4,72.3,114,74.6,5.77,3.98,475.509,2.24,16.30,0.979,36.9
3.16,0.0668761,95.4,72.3,114,74.6,5.77,3.99,475.509,2.26,16.30,0.979,36.9
3.22,0.0668761,95.4,72.3,114,74.6,5.77,3.97,475.509,2.29,16.30,0.979,36.9
3.26,0.0668761,95.4,72.3,114,74.6,5.77,3.95,475.509,2.31,16.30,0.979,36.9
3.32,0.0668761,95.4,72.3,114,74.6,5.77,3.93,475.509,2.34,16.30,0.979,36.9
